02/02/2024 Pano de chao, 6007023185987 460 63.43
02/10/2021 Beterraba, 5307754702243 833 21.01
02/06/2023 Lamina de barbear, 5712714228135 263 94.45
23/08/2022 Mamao, 2159143885389 526 18.59
05/03/2022 Cervejas, 4237266532827 233 4.10
14/06/2022 Beterraba, 5307754702243 826 95.51
31/08/2024 Linguica, 4149128324557 237 3.98
09/12/2021 Touca de banho, 3846372934428 953 76.93
28/12/2020 Cenoura, 2951677186679 620 99.25
25/08/2023 Oleo, 2643135385212 704 34.09
20/12/2023 Creme de pentear, 6885201756442 160 80.44
22/07/2025 Couve-flor, 2604294685990 132 10.39
14/01/2020 Mortadela, 5697964474427 9 26.29
13/03/2021 Sucos, 3997947080913 714 46.44
20/09/2020 Iogurte, 9874568694265 892 75.68
08/06/2020 Banana, 9028018713579 855 25.49
12/09/2021 Lasanha, 6373006651799 41 54.02
07/10/2020 Maca, 8353498845788 607 97.35
27/11/2024 Sabao em po, 6492109914595 724 18.35
23/02/2022 Sabonete, 7827337686825 498 29.91
08/02/2021 Atum em lata, 0186948547625 676 4.58
18/12/2022 Ervilha em lata, 1991887217961 116 46.35
22/11/2025 Detergente, 8067137449783 875 4.84
21/11/2021 Pimenta, 6647735503522 149 48.00
12/05/2020 Atum em lata, 0186948547625 353 56.30
17/04/2022 Leite, 6543395848665 543 45.34
20/08/2021 Sardinha em lata, 0936488437126 515 3.42
14/03/2025 Vassoura, 4333174221861 849 11.22
16/05/2025 Hidratante corporal, 8231418314709 45 21.45
27/08/2025 Alvejante, 5096180739833 649 43.23
05/05/2024 Margarina, 5041735450138 862 44.01
06/03/2023 Peito de frango, 7885699972149 322 27.83
07/11/2024 Condicionador, 4501542233501 621 14.14
21/04/2023 Desodorante, 3142568277540 232 65.42
28/12/2020 Luva de borracha, 5346856592496 603 70.31
25/03/2024 Arroz branco, 3678623245264 10 21.35
13/06/2025 Pano de chao, 6007023185987 307 54.57
02/10/2023 Azeite, 4822663361733 210 72.74
20/03/2024 Peito de frango, 7885699972149 590 56.15
11/09/2025 Leite, 6543395848665 7 43.83
04/06/2023 Pizza congelada, 5315989327243 841 91.14
13/05/2022 Desodorante, 3142568277540 412 95.17
22/06/2024 Presunto, 0743786161005 63 28.83
30/12/2020 Desinfetante, 0664747427340 495 13.10
15/07/2022 Feijao carioca, 5966459636684 138 52.80
12/12/2025 Pano de prato, 1539879819622 460 44.97
04/10/2025 Sucos, 3997947080913 949 22.76
21/03/2021 Requeijao, 0728052892698 680 46.39
30/05/2021 Azeite, 4822663361733 843 76.18
24/10/2025 Sal, 4812229321119 148 43.07
19/06/2022 Couve, 5096852384553 880 56.99
02/09/2021 Arroz branco, 3678623245264 819 34.92
01/03/2022 Milho em lata, 0926053298050 995 33.65
26/10/2022 Alvejante, 5096180739833 533 48.05
02/03/2020 Maionese, 2697753582803 493 53.83
27/05/2023 Agua sanitaria, 2793884574728 965 37.92
23/07/2023 Vassoura, 4333174221861 188 59.39
18/07/2021 Escova de dentes, 9704207493246 318 75.18
19/07/2020 Sal, 4812229321119 847 15.32
22/01/2021 Sucos, 3997947080913 591 66.82
30/10/2024 Agua sanitaria, 2793884574728 423 59.28
21/07/2025 Feijao carioca, 5966459636684 134 7.27
10/03/2025 Agua sanitaria, 2793884574728 930 40.63
30/05/2023 Abacaxi, 5037905513239 731 82.71
11/10/2021 Espuma de barbear, 1753271946778 872 46.61
22/02/2025 Algodao, 5294414199047 124 84.93
19/04/2020 Melancia, 1476649676491 465 50.61
16/12/2022 Abacaxi, 5037905513239 213 13.26
03/10/2025 Touca de banho, 3846372934428 941 23.20
17/10/2020 Sabao em po, 6492109914595 35 54.76
29/11/2024 Sucos, 3997947080913 425 4.04
15/03/2023 Arroz parbolizado, 2085095743789 791 59.79
01/07/2023 Rodo, 3558392293878 623 90.72
24/06/2024 Manteiga, 5845750127985 989 13.76
24/03/2020 Oleo, 2643135385212 639 21.03
30/11/2025 Alface, 4865793795123 383 62.23
19/11/2021 Condicionador, 4501542233501 360 36.99
09/09/2023 Amaciante, 7670151866291 181 22.52
15/01/2020 Cenoura, 2951677186679 303 36.60
05/01/2023 Linguica, 4149128324557 603 66.60
15/03/2020 Linguica, 4149128324557 201 50.65
28/10/2025 Shampoo, 0161093064498 454 20.85
09/11/2024 Agua sanitaria, 2793884574728 187 61.35
14/02/2024 Couve, 5096852384553 596 55.00
20/11/2023 Vitaminas, 7325541289864 266 6.32
11/04/2025 Vodka, 6951454348240 388 95.18
13/09/2024 Pano de chao, 6007023185987 546 6.22
27/02/2021 Melancia, 1476649676491 572 22.65
08/03/2022 Absorvente, 7974618036917 700 5.85
14/10/2024 Rucula, 8170892069634 282 59.16
07/01/2021 Lamina de barbear, 5712714228135 531 25.09
18/12/2023 Pano de prato, 1539879819622 841 34.44
11/01/2025 Condicionador, 4501542233501 333 0.71
13/02/2020 Pa de lixo, 5364976700911 640 75.29
28/12/2025 Cenoura, 2951677186679 495 87.54
22/07/2023 Shampoo, 0161093064498 547 11.61
09/12/2020 Maca, 8353498845788 645 59.89
29/12/2020 Couve, 5096852384553 155 17.47
04/02/2020 Maca, 8353498845788 803 26.56
02/04/2023 Cervejas, 4237266532827 703 87.11
