16/04/2024 Shampoo, 8884747629738 96 38.45
06/11/2021 Leite, 1846069838874 197 26.26
20/02/2024 Tomate, 9688553127503 574 35.19
04/06/2023 Touca de banho, 7104465831058 743 77.95
18/06/2023 Cotonete, 0117171704343 84 72.46
03/11/2025 Rucula, 8445776648772 383 80.03
24/09/2021 Salsicha, 7211463062597 471 50.01
23/06/2024 Shampoo, 8884747629738 350 86.37
22/01/2025 Cachaca, 8570162124044 369 87.16
06/09/2022 Vassoura, 7660526208907 365 21.77
13/11/2025 Cenoura, 7489679805648 363 20.08
19/03/2022 Manteiga, 7176309469412 802 45.46
20/09/2023 Absorvente, 1220711220313 100 9.88
28/02/2023 Couve, 8711719540876 916 36.16
21/02/2020 Feijao preto, 5470975468909 284 34.26
22/02/2021 Pano de chao, 0302101494201 314 68.50
14/06/2025 Apresuntado, 8256468502432 157 43.00
26/04/2020 Iogurte, 3857736673579 628 61.84
26/04/2020 Couve, 8711719540876 624 77.60
06/05/2020 Atum em lata, 1481348492226 997 20.16
04/09/2024 Espuma de barbear, 2241691472392 219 47.84
15/08/2022 Cervejas, 3173807468838 97 12.06
06/07/2025 Rodo, 9100875051830 249 23.82
21/05/2021 Condicionador, 4459152368235 113 58.73
21/10/2024 Pano de prato, 1239399820912 539 84.16
21/11/2023 Macarrao, 6414746935886 30 61.71
08/06/2021 Hamburguer, 8922265386548 316 71.03
07/11/2022 Apresuntado, 8256468502432 210 6.40
23/05/2020 Desodorante, 1948814942239 19 20.54
27/03/2022 Esponja para banho, 6404192736983 635 22.18
28/07/2021 Banana, 8185858256780 9 26.80
29/02/2020 Pizza congelada, 6041148789389 583 34.99
03/08/2020 Batata, 8719977465432 371 21.94
06/09/2022 Leite, 1846069838874 526 38.04
04/01/2021 Pizza congelada, 6041148789389 945 48.98
19/10/2024 Refrigerante, 9697286891236 410 94.94
13/02/2021 Shampoo, 8884747629738 202 48.23
11/03/2025 Lasanha, 7386254760601 709 43.82
16/10/2020 Desodorante, 1948814942239 710 6.51
21/01/2022 Feijao carioca, 9553065216535 404 78.45
03/11/2022 Pizza congelada, 6041148789389 581 62.06
11/09/2024 Mamao, 6632163230293 889 87.19
21/12/2022 Cha, 2034722119813 71 74.44
30/07/2020 Salsicha, 7211463062597 358 68.83
17/12/2024 Beterraba, 5899756492369 104 70.88
04/02/2025 Melancia, 1559653418050 259 23.09
07/06/2021 Farinhas de trigo, 5500981824676 701 38.26
22/07/2022 Touca de banho, 7104465831058 391 68.64
13/10/2024 Manga, 1232313962355 78 44.46
16/10/2022 Espuma de barbear, 2241691472392 4 8.07
17/10/2022 Rodo, 9100875051830 404 19.99
04/10/2023 Agua sanitaria, 0968695313489 299 26.36
08/05/2025 Repolho, 3028628183405 582 4.91
05/07/2022 Pizza congelada, 6041148789389 290 59.38
03/06/2020 Detergente, 3747772202319 831 42.96
14/01/2020 Luva de borracha, 7924190913045 998 78.72
03/01/2025 Papel higienico, 6585677423515 846 21.59
30/03/2020 Rucula, 8445776648772 369 14.30
19/05/2024 Cotonete, 0117171704343 109 84.46
08/09/2020 Cha, 2034722119813 272 93.16
22/06/2020 Pano de chao, 0302101494201 321 76.84
13/02/2024 Feijao carioca, 9553065216535 170 94.32
05/02/2021 Ervilha em lata, 5463131984730 552 43.92
28/05/2023 Banana, 8185858256780 620 81.36
05/01/2024 Sal, 0384613704289 647 15.14
22/07/2020 Pimentao, 1662729727134 398 40.16
03/06/2021 Manteiga, 7176309469412 497 39.01
30/01/2020 Pizza congelada, 6041148789389 803 72.77
15/10/2020 Batata, 8719977465432 532 63.08
08/10/2021 Leite fermentado, 4470714605102 331 13.22
10/11/2022 Papel higienico, 6585677423515 415 28.12
13/03/2021 Lamina de barbear, 6564977475461 90 88.58
26/06/2020 Manteiga, 7176309469412 916 32.75
10/04/2021 Pano de chao, 0302101494201 519 63.43
19/10/2021 Pizza congelada, 6041148789389 936 43.75
27/07/2025 Achocolatado, 7600711338281 207 52.58
27/01/2024 Pano de prato, 1239399820912 653 68.24
17/08/2025 Pano de prato, 1239399820912 573 6.35
27/11/2024 Cachaca, 8570162124044 374 13.77
25/04/2023 Esponja para banho, 6404192736983 180 74.67
01/12/2021 Couve-flor, 4879442190133 869 97.08
24/03/2025 Linguica, 0087726873615 72 45.27
12/01/2023 Presunto, 7102050603154 944 59.89
03/06/2025 Sucos, 8651041828744 687 60.62
12/02/2021 Pano de chao, 0302101494201 849 92.58
27/10/2022 Sabao em po, 2254023466658 752 64.14
30/10/2022 Sabao em pedra, 1181762382367 87 17.77
07/09/2020 Atum em lata, 1481348492226 701 43.64
01/01/2025 Pimenta, 7973364582810 795 7.13
26/06/2022 Hamburguer, 8922265386548 412 53.06
17/02/2023 Cervejas, 3173807468838 489 0.37
12/03/2023 Creme dental, 2902767479854 40 54.53
31/07/2024 Absorvente, 1220711220313 311 27.25
12/08/2020 Oleo, 8570780020844 898 17.03
29/09/2021 Oleo, 8570780020844 608 33.98
08/03/2025 Rodo, 9100875051830 6 62.89
01/11/2020 Feijao preto, 5470975468909 563 78.05
11/07/2021 Cenoura, 7489679805648 611 38.68
15/11/2023 Vassoura, 7660526208907 890 97.27
03/03/2021 Hidratante corporal, 4959623685869 943 22.97
